epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.375,0.95156,4.44022,0.92696,0.35253,0.38785,0.31565,0.25618,0.77438,2.10616,0.87431,0.0700728,0.00332524,0.00332524
2,769.843,0.94698,2.17778,0.91579,0.3758,0.41131,0.34445,0.26229,0.88899,2.32309,0.91417,0.0398531,0.00643884,0.00643884
3,1151.74,1.02645,2.063,0.93483,0.47478,0.31797,0.31777,0.23988,0.99399,2.33309,0.95642,0.00941335,0.00933244,0.00933244
4,1533.16,1.09405,2.12429,0.9706,0.53336,0.32379,0.35081,0.26628,1.00497,2.15294,0.95898,0.00901,0.00901,0.00901
5,1914.67,1.1103,2.02263,0.97513,0.40288,0.38593,0.35117,0.2684,0.99059,2.17128,0.95992,0.00868,0.00868,0.00868
6,2296.36,1.07087,1.91872,0.96233,0.46908,0.41415,0.40397,0.31109,0.9236,1.9054,0.93788,0.00835,0.00835,0.00835
7,2677.91,1.03988,1.79835,0.95146,0.47303,0.43672,0.43935,0.34012,0.91859,1.71438,0.9407,0.00802,0.00802,0.00802
8,3059.37,1.02957,1.71949,0.94753,0.46476,0.39929,0.41109,0.31689,0.91178,1.89502,0.94154,0.00769,0.00769,0.00769
9,3440.76,0.97958,1.61498,0.93291,0.60679,0.41838,0.47354,0.37103,0.8788,1.7148,0.92722,0.00736,0.00736,0.00736
10,3822.28,0.97908,1.58385,0.93017,0.55664,0.41762,0.48544,0.38252,0.85049,1.67256,0.91576,0.00703,0.00703,0.00703
11,4203.73,0.95112,1.48488,0.91713,0.50494,0.48294,0.52777,0.42249,0.8435,1.54691,0.91082,0.0067,0.0067,0.0067
12,4585.04,0.93971,1.4269,0.91693,0.61838,0.45002,0.51839,0.40494,0.82415,1.56188,0.90463,0.00637,0.00637,0.00637
13,4966.57,0.9211,1.3597,0.91455,0.56546,0.49934,0.52515,0.41806,0.824,1.55762,0.90473,0.00604,0.00604,0.00604
14,5348.21,0.89609,1.31325,0.90159,0.55738,0.50615,0.5463,0.4382,0.79866,1.40942,0.89944,0.00571,0.00571,0.00571
15,5731.13,0.87951,1.23859,0.89191,0.55115,0.53161,0.55983,0.44879,0.78952,1.41519,0.89779,0.00538,0.00538,0.00538
16,6112.97,0.87589,1.20783,0.89836,0.59489,0.5363,0.56704,0.45915,0.76238,1.41407,0.88348,0.00505,0.00505,0.00505
17,6494.55,0.8605,1.16616,0.8893,0.53799,0.54825,0.56895,0.46085,0.76349,1.36095,0.88478,0.00472,0.00472,0.00472
18,6874.81,0.8447,1.09878,0.89268,0.58293,0.54791,0.57511,0.46173,0.77979,1.39529,0.89168,0.00439,0.00439,0.00439
19,386.592,0.83643,1.0628,0.88253,0.65581,0.52978,0.6001,0.48817,0.74123,1.29658,0.87793,0.00406,0.00406,0.00406
20,773.408,0.81508,1.02824,0.87625,0.65448,0.55093,0.61584,0.50158,0.7415,1.25674,0.87569,0.00373,0.00373,0.00373
21,1182.86,0.75303,0.97124,0.87932,0.63624,0.57707,0.62485,0.50514,0.7354,1.1863,0.87441,0.0034,0.0034,0.0034
22,1572.54,0.74269,0.89449,0.87288,0.6707,0.59043,0.65878,0.54118,0.71536,1.15442,0.8679,0.00307,0.00307,0.00307
23,1956.26,0.71845,0.83892,0.86587,0.73519,0.60466,0.67365,0.55384,0.7054,1.14137,0.86837,0.00274,0.00274,0.00274
24,2338.78,0.70274,0.78146,0.86161,0.60264,0.62694,0.6641,0.54672,0.70536,1.12169,0.8675,0.00241,0.00241,0.00241
25,2721.25,0.69242,0.74445,0.86133,0.64308,0.61998,0.67895,0.56042,0.70181,1.12545,0.87283,0.00208,0.00208,0.00208
26,3104.64,0.67799,0.71611,0.85189,0.63994,0.64046,0.68871,0.57011,0.69012,1.08222,0.86384,0.00175,0.00175,0.00175
27,3490.7,0.66928,0.67244,0.85158,0.71788,0.61628,0.70633,0.58415,0.68771,1.04799,0.86375,0.00142,0.00142,0.00142
28,3876.71,0.65934,0.63712,0.84359,0.73028,0.62859,0.71418,0.59499,0.67604,1.03021,0.86225,0.00109,0.00109,0.00109
29,4262.79,0.65026,0.60183,0.84741,0.76744,0.61302,0.71566,0.59748,0.67293,1.03277,0.8637,0.00076,0.00076,0.00076
30,4649.72,0.63414,0.5856,0.84382,0.68345,0.66112,0.71375,0.59541,0.66492,1.02988,0.85929,0.00043,0.00043,0.00043
