epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.131,0.95001,4.43998,0.92636,0.36387,0.35977,0.29964,0.24334,0.78352,2.16583,0.87522,0.0700728,0.00332524,0.00332524
2,778.711,0.94463,2.18358,0.91266,0.38559,0.38517,0.3381,0.25958,0.87246,2.3432,0.91211,0.0398531,0.00643884,0.00643884
3,1164.28,1.03099,2.07024,0.93329,0.44894,0.28141,0.25989,0.19014,1.0645,2.48145,0.97339,0.00941335,0.00933244,0.00933244
4,1549.1,1.09737,2.11405,0.96901,0.44233,0.36579,0.35239,0.26346,0.99016,2.1406,0.96482,0.00901,0.00901,0.00901
5,1934.03,1.10134,2.00618,0.97062,0.40261,0.37163,0.3898,0.29419,0.96555,1.9412,0.95505,0.00868,0.00868,0.00868
6,2319.14,1.06519,1.87751,0.96021,0.39618,0.40572,0.38468,0.29563,0.96742,1.94891,0.95762,0.00835,0.00835,0.00835
7,2703.47,1.05005,1.79399,0.95723,0.44949,0.42042,0.38955,0.297,0.93029,1.86684,0.94845,0.00802,0.00802,0.00802
8,3086.8,1.03505,1.7501,0.949,0.4773,0.43484,0.43559,0.34133,0.89076,1.75584,0.93091,0.00769,0.00769,0.00769
9,3471.53,0.99273,1.62003,0.93605,0.61847,0.39943,0.44441,0.35084,0.86918,1.81765,0.92195,0.00736,0.00736,0.00736
10,3856.31,0.97082,1.58468,0.92633,0.55382,0.41781,0.47349,0.37577,0.856,1.65211,0.91289,0.00703,0.00703,0.00703
11,4240.07,0.9507,1.49293,0.91684,0.5684,0.46882,0.50586,0.40183,0.83412,1.5351,0.90746,0.0067,0.0067,0.0067
12,4621,0.94005,1.41177,0.91574,0.54191,0.47699,0.49689,0.39731,0.82844,1.54843,0.90749,0.00637,0.00637,0.00637
13,5004.54,0.92013,1.35615,0.91408,0.54918,0.51133,0.52345,0.4115,0.83441,1.53353,0.91395,0.00604,0.00604,0.00604
14,5388.85,0.8903,1.30141,0.89913,0.50027,0.51724,0.53461,0.4356,0.7924,1.44513,0.89636,0.00571,0.00571,0.00571
15,5773.44,0.88362,1.23766,0.8939,0.54334,0.5206,0.53486,0.42987,0.78857,1.46542,0.90199,0.00538,0.00538,0.00538
16,6158.23,0.86394,1.20795,0.89778,0.56695,0.5345,0.55659,0.44616,0.77654,1.4804,0.89126,0.00505,0.00505,0.00505
17,6542.69,0.859,1.16878,0.88832,0.62677,0.55424,0.58816,0.47881,0.74647,1.31902,0.8818,0.00472,0.00472,0.00472
18,6926.83,0.83639,1.09212,0.89117,0.60096,0.52317,0.57264,0.46261,0.7545,1.35813,0.88466,0.00439,0.00439,0.00439
19,7309.07,0.84262,1.0627,0.88618,0.59433,0.54451,0.5845,0.47459,0.74146,1.31049,0.8798,0.00406,0.00406,0.00406
20,7691.37,0.81487,1.01969,0.87936,0.57632,0.56401,0.59781,0.4844,0.74773,1.29718,0.88355,0.00373,0.00373,0.00373
21,8094,0.74144,0.92485,0.87385,0.55086,0.62484,0.61907,0.49627,0.75065,1.24529,0.88179,0.0034,0.0034,0.0034
22,8475.71,0.74077,0.89047,0.87011,0.57889,0.62695,0.64036,0.52187,0.72844,1.18486,0.8795,0.00307,0.00307,0.00307
23,8857.52,0.72442,0.84747,0.86642,0.632,0.60535,0.64471,0.51913,0.73798,1.18697,0.88115,0.00274,0.00274,0.00274
24,9239.26,0.72326,0.79799,0.86502,0.5696,0.61516,0.63145,0.51519,0.73317,1.21762,0.87968,0.00241,0.00241,0.00241
25,9620.82,0.69505,0.74675,0.85748,0.61675,0.60972,0.65526,0.53631,0.71591,1.14033,0.87321,0.00208,0.00208,0.00208
26,10002.4,0.69421,0.70658,0.85641,0.70524,0.60754,0.67347,0.55143,0.71396,1.07433,0.87237,0.00175,0.00175,0.00175
27,10384.2,0.68161,0.67647,0.85479,0.65008,0.64443,0.67911,0.55796,0.7028,1.08528,0.87363,0.00142,0.00142,0.00142
28,10765.8,0.65501,0.63826,0.84855,0.63819,0.65075,0.68321,0.56529,0.68901,1.06454,0.86695,0.00109,0.00109,0.00109
29,11147.1,0.64469,0.59958,0.84624,0.65923,0.66429,0.69335,0.57277,0.67738,1.05404,0.86014,0.00076,0.00076,0.00076
30,11528.6,0.6361,0.5709,0.84437,0.65616,0.67217,0.70221,0.58683,0.66963,1.03094,0.86169,0.00043,0.00043,0.00043
