epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.108,0.94946,4.43988,0.92656,0.43888,0.3513,0.32802,0.26692,0.77468,2.08906,0.87308,0.0700728,0.00332524,0.00332524
2,770.383,0.94535,2.18677,0.9171,0.40844,0.42719,0.38868,0.30087,0.87436,2.03242,0.90833,0.0398193,0.00640504,0.00640504
3,1153.89,1.02839,2.06402,0.93514,0.40187,0.40448,0.34272,0.26418,0.9659,2.11382,0.94272,0.00931189,0.00923099,0.00923099
4,1537.53,1.0905,2.08666,0.96258,0.49239,0.33231,0.34585,0.26299,0.98143,2.12751,0.95695,0.00885769,0.00885769,0.00885769
5,1921.38,1.11105,1.99932,0.9729,0.47007,0.3476,0.36498,0.27779,0.9564,2.1995,0.94612,0.00847692,0.00847692,0.00847692
6,2304.79,1.05993,1.8751,0.95484,0.3662,0.40777,0.38972,0.29482,0.93402,1.9274,0.94119,0.00809615,0.00809615,0.00809615
7,2688.7,1.0219,1.7731,0.94776,0.45576,0.41272,0.42871,0.33044,0.93016,1.7913,0.94303,0.00771538,0.00771538,0.00771538
8,3072.49,1.02807,1.70242,0.94863,0.40635,0.46938,0.39935,0.31202,0.90421,1.98145,0.92907,0.00733462,0.00733462,0.00733462
9,3456.05,0.9798,1.59062,0.93155,0.48159,0.48227,0.47794,0.37315,0.86995,1.70224,0.91561,0.00695385,0.00695385,0.00695385
10,3839.64,0.97077,1.55456,0.92641,0.49136,0.47779,0.4766,0.37779,0.85107,1.69891,0.91223,0.00657308,0.00657308,0.00657308
11,4223.44,0.94436,1.4858,0.91259,0.52671,0.4828,0.50956,0.40846,0.8354,1.54473,0.90221,0.00619231,0.00619231,0.00619231
12,4607.07,0.92969,1.39776,0.91457,0.59268,0.50854,0.54685,0.43519,0.8126,1.45653,0.90287,0.00581154,0.00581154,0.00581154
13,4991,0.91277,1.33235,0.91035,0.55856,0.47443,0.50911,0.4033,0.82313,1.61144,0.90526,0.00543077,0.00543077,0.00543077
14,5374.39,0.88215,1.2793,0.89696,0.59157,0.52128,0.56994,0.45484,0.78578,1.40999,0.88858,0.00505,0.00505,0.00505
15,5757.76,0.86214,1.18303,0.88478,0.59148,0.56726,0.58568,0.47854,0.74215,1.32218,0.88254,0.00466923,0.00466923,0.00466923
16,6141.4,0.84168,1.15434,0.88858,0.61755,0.5458,0.58213,0.46978,0.74802,1.34392,0.87785,0.00428846,0.00428846,0.00428846
17,6544,0.78924,1.09731,0.88936,0.57921,0.56707,0.58272,0.47027,0.77569,1.29849,0.89363,0.00390769,0.00390769,0.00390769
18,6926.98,0.77266,1.04525,0.87938,0.61342,0.56967,0.61367,0.50141,0.74598,1.24089,0.88142,0.00352692,0.00352692,0.00352692
19,7309.99,0.74944,0.97284,0.8759,0.66998,0.55593,0.61739,0.50345,0.741,1.25067,0.87627,0.00314615,0.00314615,0.00314615
20,7692.68,0.74206,0.89426,0.86901,0.68051,0.59226,0.65913,0.53707,0.7228,1.16449,0.87615,0.00276538,0.00276538,0.00276538
21,8075.22,0.72281,0.85206,0.86616,0.64192,0.59433,0.65144,0.53543,0.70406,1.16113,0.86549,0.00238462,0.00238462,0.00238462
22,8457.88,0.70492,0.77921,0.86033,0.65387,0.61097,0.66032,0.54311,0.71483,1.17709,0.87492,0.00200385,0.00200385,0.00200385
23,8840.75,0.6985,0.74988,0.85918,0.67161,0.63301,0.68086,0.56519,0.69016,1.08564,0.86864,0.00162308,0.00162308,0.00162308
24,9223.54,0.67802,0.68974,0.85746,0.68569,0.629,0.69016,0.57145,0.68417,1.06972,0.86141,0.00124231,0.00124231,0.00124231
25,9606.43,0.66577,0.66954,0.84505,0.67679,0.62907,0.69594,0.5855,0.66152,1.07665,0.85596,0.000861538,0.000861538,0.000861538
26,9989.21,0.65149,0.6252,0.84609,0.73263,0.62151,0.7016,0.58932,0.66329,1.05869,0.85891,0.000480769,0.000480769,0.000480769
